,DLLlist_Win10x64-mimi20150502,DLLlist_Win10x64-mimi20160501,DLLlist_Win10x64-mimi20170801,DLLlist_Win10x86_mimi20150502,DLLlist_Win10x86_mimi20160501,DLLlist_Win10x86_mimi20170801,DLLlist_Win7x64-mimi20150502,DLLlist_Win7x64-mimi20160501,DLLlist_Win7x64-mimi20170801,DLLlist_Win7x86-mimi20150502,DLLlist_Win7x86-mimi20160501,DLLlist_Win7x86-mimi20170801,DLLlist_Win8x64-mimi20150502,DLLlist_Win8x64-mimi20160501,DLLlist_Win8x64-mimi20170801,DLLlist_Win8x86-mimi20150502,DLLlist_Win8x86-mimi20160501,DLLlist_Win8x86-mimi20170801,DLLlist_WinSV2008R2-mimi20150501,DLLlist_WinSV2008R2-mimi20160501,DLLlist_WinSV2008R2-mimi20170801,DLLlist_WinSV2012R2-mimi20150501,DLLlist_WinSV2012R2-mimi20160501,DLLlist_WinSV2012R2-mimi20170801,DLLlist_WinSV2016-mimi20150502,DLLlist_WinSV2016-mimi20160501,DLLlist_WinSV2016-mimi20170801
C:\Windows\System32\advapi32.dll,C:\Windows\System32\advapi32.dll,C:\Windows\System32\advapi32.dll,C:\Windows\System32\advapi32.dll,C:\Windows\System32\advapi32.dll,C:\Windows\System32\advapi32.dll,C:\Windows\System32\advapi32.dll,C:\Windows\System32\advapi32.dll,C:\Windows\System32\advapi32.dll,C:\Windows\System32\advapi32.dll,C:\Windows\System32\advapi32.dll,C:\Windows\System32\advapi32.dll,C:\Windows\System32\advapi32.dll,C:\Windows\System32\advapi32.dll,C:\Windows\System32\advapi32.dll,C:\Windows\System32\advapi32.dll,C:\Windows\System32\advapi32.dll,C:\Windows\System32\advapi32.dll,C:\Windows\System32\advapi32.dll,C:\Windows\System32\advapi32.dll,C:\Windows\System32\advapi32.dll,C:\Windows\System32\advapi32.dll,C:\Windows\System32\advapi32.dll,C:\Windows\System32\advapi32.dll,C:\Windows\System32\advapi32.dll,C:\Windows\System32\advapi32.dll,C:\Windows\System32\advapi32.dll,C:\Windows\System32\advapi32.dll,
C:\Windows\System32\apphelp.dll,C:\Windows\System32\apphelp.dll,C:\Windows\System32\apphelp.dll,C:\Windows\System32\apphelp.dll,C:\Windows\System32\apphelp.dll,C:\Windows\System32\apphelp.dll,C:\Windows\System32\apphelp.dll,-,-,-,-,-,-,C:\Windows\System32\apphelp.dll,C:\Windows\System32\apphelp.dll,C:\Windows\System32\apphelp.dll,C:\Windows\System32\apphelp.dll,C:\Windows\System32\apphelp.dll,C:\Windows\System32\apphelp.dll,-,-,-,-,-,-,C:\Windows\System32\apphelp.dll,C:\Windows\System32\apphelp.dll,C:\Windows\System32\apphelp.dll,
C:\Windows\System32\bcrypt.dll,C:\Windows\System32\bcrypt.dll,C:\Windows\System32\bcrypt.dll,C:\Windows\System32\bcrypt.dll,C:\Windows\System32\bcrypt.dll,C:\Windows\System32\bcrypt.dll,C:\Windows\System32\bcrypt.dll,C:\Windows\System32\bcrypt.dll,C:\Windows\System32\bcrypt.dll,-,C:\Windows\System32\bcrypt.dll,C:\Windows\System32\bcrypt.dll,-,C:\Windows\System32\bcrypt.dll,C:\Windows\System32\bcrypt.dll,C:\Windows\System32\bcrypt.dll,C:\Windows\System32\bcrypt.dll,C:\Windows\System32\bcrypt.dll,C:\Windows\System32\bcrypt.dll,C:\Windows\System32\bcrypt.dll,C:\Windows\System32\bcrypt.dll,-,C:\Windows\System32\bcrypt.dll,C:\Windows\System32\bcrypt.dll,C:\Windows\System32\bcrypt.dll,C:\Windows\System32\bcrypt.dll,C:\Windows\System32\bcrypt.dll,C:\Windows\System32\bcrypt.dll,
C:\Windows\System32\bcryptprimitives.dll,C:\Windows\System32\bcryptprimitives.dll,C:\Windows\System32\bcryptprimitives.dll,C:\Windows\System32\bcryptprimitives.dll,C:\Windows\System32\bcryptprimitives.dll,C:\Windows\System32\bcryptprimitives.dll,C:\Windows\System32\bcryptprimitives.dll,-,-,-,-,-,-,C:\Windows\System32\bcryptprimitives.dll,C:\Windows\System32\bcryptprimitives.dll,C:\Windows\System32\bcryptprimitives.dll,C:\Windows\System32\bcryptprimitives.dll,C:\Windows\System32\bcryptprimitives.dll,C:\Windows\System32\bcryptprimitives.dll,-,-,-,C:\Windows\System32\bcryptprimitives.dll,C:\Windows\System32\bcryptprimitives.dll,C:\Windows\System32\bcryptprimitives.dll,C:\Windows\System32\bcryptprimitives.dll,C:\Windows\System32\bcryptprimitives.dll,C:\Windows\System32\bcryptprimitives.dll,
C:\Windows\System32\cfgmgr32.dll,C:\Windows\System32\cfgmgr32.dll,C:\Windows\System32\cfgmgr32.dll,C:\Windows\System32\cfgmgr32.dll,C:\Windows\System32\cfgmgr32.dll,C:\Windows\System32\cfgmgr32.dll,C:\Windows\System32\cfgmgr32.dll,-,C:\Windows\System32\cfgmgr32.dll,C:\Windows\System32\cfgmgr32.dll,-,C:\Windows\System32\cfgmgr32.dll,C:\Windows\System32\cfgmgr32.dll,-,C:\Windows\System32\cfgmgr32.dll,C:\Windows\System32\cfgmgr32.dll,-,C:\Windows\System32\cfgmgr32.dll,C:\Windows\System32\cfgmgr32.dll,-,C:\Windows\System32\cfgmgr32.dll,C:\Windows\System32\cfgmgr32.dll,-,C:\Windows\System32\cfgmgr32.dll,C:\Windows\System32\cfgmgr32.dll,C:\Windows\System32\cfgmgr32.dll,C:\Windows\System32\cfgmgr32.dll,C:\Windows\System32\cfgmgr32.dll,
C:\Windows\System32\combase.dll,C:\Windows\System32\combase.dll,C:\Windows\System32\combase.dll,C:\Windows\System32\combase.dll,C:\Windows\System32\combase.dll,C:\Windows\System32\combase.dll,C:\Windows\System32\combase.dll,-,-,-,-,-,-,C:\Windows\System32\combase.dll,C:\Windows\System32\combase.dll,C:\Windows\System32\combase.dll,C:\Windows\System32\combase.dll,C:\Windows\System32\combase.dll,C:\Windows\System32\combase.dll,-,-,-,C:\Windows\System32\combase.dll,C:\Windows\System32\combase.dll,C:\Windows\System32\combase.dll,C:\Windows\System32\combase.dll,C:\Windows\System32\combase.dll,C:\Windows\System32\combase.dll,
C:\Windows\System32\crypt32.dll,C:\Windows\System32\crypt32.dll,C:\Windows\System32\crypt32.dll,C:\Windows\System32\crypt32.dll,C:\Windows\System32\crypt32.dll,C:\Windows\System32\crypt32.dll,C:\Windows\System32\crypt32.dll,C:\Windows\System32\crypt32.dll,C:\Windows\System32\crypt32.dll,C:\Windows\System32\crypt32.dll,C:\Windows\System32\crypt32.dll,C:\Windows\System32\crypt32.dll,C:\Windows\System32\crypt32.dll,C:\Windows\System32\crypt32.dll,C:\Windows\System32\crypt32.dll,C:\Windows\System32\crypt32.dll,C:\Windows\System32\crypt32.dll,C:\Windows\System32\crypt32.dll,C:\Windows\System32\crypt32.dll,C:\Windows\System32\crypt32.dll,C:\Windows\System32\crypt32.dll,C:\Windows\System32\crypt32.dll,C:\Windows\System32\crypt32.dll,C:\Windows\System32\crypt32.dll,C:\Windows\System32\crypt32.dll,C:\Windows\System32\crypt32.dll,C:\Windows\System32\crypt32.dll,C:\Windows\System32\crypt32.dll,
C:\Windows\System32\cryptbase.dll,C:\Windows\System32\cryptbase.dll,C:\Windows\System32\cryptbase.dll,C:\Windows\System32\cryptbase.dll,C:\Windows\System32\cryptbase.dll,C:\Windows\System32\cryptbase.dll,C:\Windows\System32\cryptbase.dll,-,-,C:\Windows\System32\cryptbase.dll,-,-,C:\Windows\System32\cryptbase.dll,C:\Windows\System32\cryptbase.dll,C:\Windows\System32\cryptbase.dll,C:\Windows\System32\cryptbase.dll,C:\Windows\System32\cryptbase.dll,C:\Windows\System32\cryptbase.dll,C:\Windows\System32\cryptbase.dll,-,-,C:\Windows\System32\cryptbase.dll,C:\Windows\System32\cryptbase.dll,C:\Windows\System32\cryptbase.dll,C:\Windows\System32\cryptbase.dll,C:\Windows\System32\cryptbase.dll,C:\Windows\System32\cryptbase.dll,C:\Windows\System32\cryptbase.dll,
C:\Windows\System32\cryptdll.dll,C:\Windows\System32\cryptdll.dll,C:\Windows\System32\cryptdll.dll,C:\Windows\System32\cryptdll.dll,C:\Windows\System32\cryptdll.dll,C:\Windows\System32\cryptdll.dll,C:\Windows\System32\cryptdll.dll,C:\Windows\System32\cryptdll.dll,C:\Windows\System32\cryptdll.dll,C:\Windows\System32\cryptdll.dll,C:\Windows\System32\cryptdll.dll,C:\Windows\System32\cryptdll.dll,C:\Windows\System32\cryptdll.dll,C:\Windows\System32\cryptdll.dll,C:\Windows\System32\cryptdll.dll,C:\Windows\System32\cryptdll.dll,C:\Windows\System32\cryptdll.dll,C:\Windows\System32\cryptdll.dll,C:\Windows\System32\cryptdll.dll,C:\Windows\System32\cryptdll.dll,C:\Windows\System32\cryptdll.dll,C:\Windows\System32\cryptdll.dll,C:\Windows\System32\cryptdll.dll,C:\Windows\System32\cryptdll.dll,C:\Windows\System32\cryptdll.dll,C:\Windows\System32\cryptdll.dll,C:\Windows\System32\cryptdll.dll,C:\Windows\System32\cryptdll.dll,
C:\Windows\System32\cryptsp.dll,C:\Windows\System32\cryptsp.dll,C:\Windows\System32\cryptsp.dll,C:\Windows\System32\cryptsp.dll,C:\Windows\System32\cryptsp.dll,C:\Windows\System32\cryptsp.dll,C:\Windows\System32\cryptsp.dll,-,-,-,-,-,-,C:\Windows\System32\cryptsp.dll,C:\Windows\System32\cryptsp.dll,C:\Windows\System32\cryptsp.dll,C:\Windows\System32\cryptsp.dll,C:\Windows\System32\cryptsp.dll,C:\Windows\System32\cryptsp.dll,-,-,-,C:\Windows\System32\cryptsp.dll,C:\Windows\System32\cryptsp.dll,C:\Windows\System32\cryptsp.dll,C:\Windows\System32\cryptsp.dll,C:\Windows\System32\cryptsp.dll,C:\Windows\System32\cryptsp.dll,
C:\Windows\System32\devobj.dll,-,C:\Windows\System32\devobj.dll,C:\Windows\System32\devobj.dll,-,C:\Windows\System32\devobj.dll,C:\Windows\System32\devobj.dll,-,C:\Windows\System32\devobj.dll,C:\Windows\System32\devobj.dll,-,C:\Windows\System32\devobj.dll,C:\Windows\System32\devobj.dll,-,C:\Windows\System32\devobj.dll,C:\Windows\System32\devobj.dll,-,C:\Windows\System32\devobj.dll,C:\Windows\System32\devobj.dll,-,C:\Windows\System32\devobj.dll,C:\Windows\System32\devobj.dll,-,C:\Windows\System32\devobj.dll,C:\Windows\System32\devobj.dll,-,C:\Windows\System32\devobj.dll,C:\Windows\System32\devobj.dll,
C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,C:\Windows\System32\gdi32.dll,
C:\Windows\System32\gdi32full.dll,C:\Windows\System32\gdi32full.dll,C:\Windows\System32\gdi32full.dll,C:\Windows\System32\gdi32full.dll,C:\Windows\System32\gdi32full.dll,C:\Windows\System32\gdi32full.dll,C:\Windows\System32\gdi32full.dll,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,C:\Windows\System32\gdi32full.dll,C:\Windows\System32\gdi32full.dll,C:\Windows\System32\gdi32full.dll,
C:\Windows\System32\hid.dll,-,C:\Windows\System32\hid.dll,C:\Windows\System32\hid.dll,-,C:\Windows\System32\hid.dll,C:\Windows\System32\hid.dll,-,C:\Windows\System32\hid.dll,C:\Windows\System32\hid.dll,-,C:\Windows\System32\hid.dll,C:\Windows\System32\hid.dll,-,C:\Windows\System32\hid.dll,C:\Windows\System32\hid.dll,-,C:\Windows\System32\hid.dll,C:\Windows\System32\hid.dll,-,C:\Windows\System32\hid.dll,C:\Windows\System32\hid.dll,-,C:\Windows\System32\hid.dll,C:\Windows\System32\hid.dll,-,C:\Windows\System32\hid.dll,C:\Windows\System32\hid.dll,
